"","year","Fail","Succeed","succ.to.fail.ratio"
"1","1989",50,148,2.96
"2","1990",219,492,2.24657534246575
"3","1991",190,407,2.14210526315789
"4","1992",214,431,2.01401869158878
"5","1993",254,551,2.16929133858268
"6","1994",253,478,1.88932806324111
"7","1995",541,657,1.21441774491682
"8","1996",252,394,1.56349206349206
"9","1997",312,537,1.72115384615385
"10","1998",262,467,1.7824427480916
"11","1999",284,561,1.97535211267606
"12","2000",266,567,2.13157894736842
"13","2001",258,536,2.07751937984496
"14","2002",180,492,2.73333333333333
"15","2003",404,636,1.57425742574257
"16","2004",240,489,2.0375
"17","2005",372,630,1.69354838709677
"18","2006",276,511,1.85144927536232
"19","2007",583,983,1.6861063464837
"20","2008",206,678,3.29126213592233
"21","2009",404,928,2.2970297029703
"22","2010",194,704,3.62886597938144
"23","2011",538,600,1.11524163568773
"24","2012",407,472,1.15970515970516
"25","2013",318,582,1.83018867924528
"26","2014",243,641,2.63786008230453
"27","2015",425,587,1.38117647058824
"28","2016",279,491,1.75985663082437
"29","2017",296,702,2.37162162162162
"30","2018",113,521,4.61061946902655
