"","job_id","jobbank..Job.Title.","industry","jobdesc"
"1",1,"Associate Director - Methodologist / Statistician - Advanced Analytics","Other Great Industries","IQVIA™ is The Human Data Science Company™, focused on using data and science to help healthcare clients find better solutions for their patients. Formed through the merger of IMS Health and Quintiles, IQVIA offers a broad range of solutions that harness advances in healthcare information, technology, analytics and human ingenuity to drive healthcare forward.The IQVIA Advanced Analytics team is one of the leading healthcare analytical teams in the world.  Joining the AA team provides the opportunity to work with extremely complex data and methodologies in a fast-paced, ever-changing environment.  We seek highly motivated people who truly want to make a difference in human data science.  At IQVIA, we look for the very best people, and then give them meaningful work to do. We don’t simply think about careers, we think about contributions.What You’ll Be Doing:Developing, implementing, managing, and validating statistical-based custom analytics for pharmaceutical client engagements to help answer complex business questions
Assisting the IQVIA Real World Insights and Commercial Services teams with use of appropriate data assets, methodologies, statistical techniques and delivery options to meet client information and analyses needs
Designing/documenting analytical plans and developing detailed programming specifications for the execution of the analysis plan
Coordinating with off-shore statistical programmers throughout the project lifecycle to ensure accurate and timely delivery
Collaborating closely with project managers to create timelines for the project and to ensure that project results and conclusions are presented accurately and without bias
Understanding the contracted scope of work, proactively identifying potential out-of-scope activities and bringing to the attention of the project leader
Working with consulting principals and sales team on business development effort by providing ad-hoc feasibility reports, providing estimations of effort and developing methodologies that address client needs
Managing the development work for urgent and/or complex projects requiring programming and statistical models in Python, R or other software packages
Building expertise in cross-platform applications of IQVIA assets with a specialization in longitudinal pharmacy and medical claims data
Contributing to the development innovative methodologies and new offerings. Creating and refining best practices and approaches
Mentoring junior team members. Potential for direct people management based on desire and prior experience
What We’re Looking For:Bachelor’s degree in a relevant field including statistics, mathematics, computer science, business analytics or other quantitative field. Master’s degree or doctorate preferred.
Six or more years of prior experience in operations research, market research, business analytics or applied statistics including manipulating larger datasets, conducting statistical analysis and deriving insights. Healthcare industry experience preferred. Job title commensurate with experience/education
Experience using statistical programming languages (SQL, Python, R and/or SAS) to manipulate data and build statistical models. Experience with distributed data/computing tools such as MapReduce, Hadoop, Hive, Impala, Spark, etc. is preferred
Knowledge and experience with statistical and data mining concepts including one or more of the following: multivariate analysis, significance testing, regression, decision trees, clustering, forecasting, sampling, scenario analysis, simulation, advanced modeling and machine learning techniques
Prior experience with healthcare data analytics leveraging patient-level/longitudinal healthcare claims data, electronic medical records (EMR) or related data is highly desired
Ability to problem solve and develop innovative approaches along with a drive to learn and master new techniques and technologies
Strong organization skills and ability to work on multiple tasks simultaneously while achieving quality standards and meeting deadlines
Excellent written and verbal communication skills. Strong interpersonal skills and ability to work collaboratively across teams
Experience visualizing/presenting data for internal stakeholders and clients. Comfortable presenting data and findings to internal and external audiences
Project management and/or team leadership experience preferred
Experience with people management and mentorship preferred
IQVIA is an EEO Employer - Minorities/Females/Protected Veterans/DisabledWe know that meaningful results require not only the right approach but also the right people. Regardless of your role, we invite you to reimagine healthcare with us. You will have the opportunity to play an important part in helping our clients drive healthcare forward and ultimately improve human health outcomes.Whatever your career goals, we are here to ensure you get there!We invite you to join IQVIA™.#LI-TF1#GLDJob ID: R1012596"
"2",2,"Product Manager | Data Science | Applications","Computer Hardware, Computer Software","AI & Machine Learning Predictive Analytics Start UpProduct Manager | Enterprise PlatformBostonGlocomms is working with a very exiting AI and Machine Learning Predictive Analytics start up who believe that the automation of data science workflows can transform every business across all industries. They are currently searching for a talented product manager to help the team of world-class data scientists, designers, engineers, and executives bring automated machine learning to companies around the world and will help millions of people in their everyday working lives.Is this for you?The ideal candidates will enjoy data science, complex problem-solving and high levels of customer interaction.ResponsibilitiesSecurity, and platform support
Security providers
Data connectivity
OS support and deployment technology for our Data Preparation Products
Deployment, licensing, administration, and maintenance in the context of enterprise deployments
Integration & compliance with enterprise systems, supported platforms, authentication providers, single sign-on
Monitoring, availability, disaster recovery
Understanding managing data for a system that supports hundreds or thousands of users
RequirementsHands-on experience with deploying and supporting enterprise solutions requiring broad data access
Strong technical skills
Enterprise systems architecture
System administration
General IT
Excellent soft skills
Tools Meant for users like:Talend
Informatica
Command line tools,
Raw APIs
Be able to empathize with these users and want to empower them to be successful
They are actively interviewing for this role, if you are interested please apply here or give me a call directly at (646 253 0219)

Job Requirements

Requirements•Hands-on experience with deploying and supporting enterprise solutions requiring broad data access•Strong technical skills•Enterprise systems architecture•System administration•General IT•Excellent soft skills"
"3",3,"Data Science & Tagging Analyst","Other Great Industries"," Job Description:he Defense and Intelligence Group of Leidos has a Data Science & Tagging Analyst position in Bethesda, MD. 1) Assist the Government to mine and analyze data from various databases to drive optimization and improvement of strategy and policy development.2) Develop custom data models and algorithms to apply to data sets. 3) Recommend, develop and support implementation of best practices for standardizing data across its lifecycle through engineering, development and governance.4) Advise on a range of Enterprise and IC data management matters through their application of substantive, analytical, operational, program management, and/or IC expertise.Basic Qualifications: 10 years or High School/GED + 8 years or Associate + 6 years or Bachelors + 4 years or Masters + 2 years or Doctorate (PhD)• Minimum five (5) years of experience manipulating data sets and building statisticalmodels, and familiarity with:o Coding knowledge and experience with several languages (C, C++, Java, JavaScript, etc.);o Statistical and data mining techniques (Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.);o Querying databases and using statistical computer languages (R, Python, etc.);o Using web services (Redshift, Spark, DigitalOcean, etc.); ando Creating and using advanced machine learning algorithms and statistics (regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.).o These five (5) years may be concurrent with requisite years of experience.• Strong problem solving skills with an emphasis on product development.• Proven ability to drive business results with data-based insights.• Demonstrated expertise with developing and implementing data management strategies, processes, and technical solutions.• Demonstrated expertise with one of the key data management knowledge areas: data management, data quality, metadata management, data governance, data modeling and design, data storage and operations, data integration and operability, document and content management, reference and master data.• Outstanding oral and written communication skills with the ability to conduct independent research, filter and synthesize data, and produce clear, logical, and concise recommendations to policy and decision-making data management and governance professionals.• Outstanding interpersonal skills, including the ability to work independently and in a team or collaborative environment, to work with all levels of employees from support staff to senior leadership, and to be proactive and responsive in communicating with all stakeholders.• Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.Currently posses an active Poly. Preferred Qualifications:• Experience analyzing data from 3rd party providers (Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.).• Experience visualizing/presenting data for stakeholders using (Periscope, Business Objects, etc.).• Demonstrated expertise managing competing priorities while maintaining a high level of attention to detail; demonstrated ability to work effectively with senior leaders in a high profile and demanding office.• Outstanding analytical and critical thinking skills, including the demonstrated ability to think strategically, identify needs and requirements, and develop recommendations and solutions.• Outstanding leadership and managerial capabilities, including the ability to effectively direct tasking, and assess and manage performance.• Knowledge of the IC, ODNI, DoD, and the overall national security apparatus"
"4",4,"Data Science Expert","Other Great Industries","Overview
Medical Science & Computing (MSC) is an exciting growth oriented company, dedicated to providing mission critical scientific and technical services to the Federal Government. We have a distinguished history of supporting the National Institutes of Health (NIH) and other government agencies. MSC offers a dynamic and upbeat work environment, excellent benefits and career growth opportunities.We attract the best people in the business with our competitive benefits package that includes medical, dental and vision coverage, 401k plan with employer contribution, paid holidays, vacation, Medical and Flexible Spending Accounts, Pre-Tax Transit Assistance and tuition reimbursement. If you enjoy being a part of a high performing, professional service and technology focused organization, please apply today!

Duties & Responsibilities

Medical Science & Computing is searching for a Data Science Expert to support the National Institutes of Health. This opportunity is a permanent, full-time position with MSC and it is on-site in Bethesda, MD. Biomedical Image Informatics, coupled with machine learning, especially deep learning models, has seen significant growth in recent years as an integral part of data science. It is currently seen as central to further development of techniques for clinical decision making, automated disease screening, automated image indexing for search and retrieval, and automated understanding of scientific literature, and health-related social media communications. The data scientist will conduct R&D in automated deep learning algorithms for image processing for many clinical modalities, such as x-rays, pathology images, microscope cell images and many others.  As an example of a project, he or she will contribute to work toward detecting the presence of cervical cancer and clinically stage it based on colposcopy cervix photos, cytology images and HPV testing in various combinations.  The incumbent will use colposcopy cervical photos from different sources, Pap smear cytology images, and results of HPV testing to explore a number of hypotheses about cervical cancer.  These will be used as training and testing sets for deep learning models to detect and identify morphological or appearance changes on the images to detect, type, and stage cervical cancer related disorders.  The research directions supported by the candidate include advancing algorithms for: 1) extraction of information from images; 2) enabling better discoverability, such as automated indexing of clinical images; and 3) research in automated disease screening and clinical decision making.

Requirements

The position will require substantial experience in the analysis of clinical images, a record of peer reviewed publications, and a solid understanding of existing deep learning frameworks. Significant software development experience using Java/Python and with NVidia’s DGX-1 and other multi-GPU systems would be an advantageEligible candidates must have a Ph.D. or M.D. (or M.D., Ph.D.) or equivalent doctoral degree in advanced computational sciences.The successful candidate should have at least five years of significant experience, with high-quality scientific contributions to biomedical image informatics and machine learning. Medical Science & Computing is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, or protected Veteran status."
"5",5,"Expert Data Science and Tagging Analyst","Other Great Industries","Every day at Perspecta, we enable hundreds of thousands of people to take on our nation’s most important work.  We’re a company founded on a diverse set of capabilities and skills, bound together by a single promise: we never stop solving our nation’s most complex challenges.  Our team of engineers, analysts, developers, investigators, integrators and architects work tirelessly to create innovative solutions.  We continually push ourselves—to respond, to adapt, to go further.  To look ahead to the changing landscape and develop new and innovative ways to serve our customers.Perspecta works with U.S. government customers in defense, intelligence, civilian, health care, and state and local markets. Our high-caliber employees are rewarded in many ways—not only through competitive salaries and benefits packages, but the opportunity to create a meaningful impact in jobs and on projects that matter. Perspecta’s talented and robust workforce—14,000 strong—stands ready to welcome you to the team. Let’s make an impact together.Perspecta is an AA/EEO Employer - Minorities/Women/Veterans/Disabled and other protected categories

Responsibilities

Assist the Government to mine and analyze data from various databases to drive optimization and improvement of strategy and policy development. The Contractor shall develop custom data models and algorithms to apply to data sets. The Contractor shall recommend, develop and support implementation of best practices for standardizing data across its lifecycle through engineering, development and governance.Advise on a range of Enterprise and IC data management matters through their application of substantive, analytical, operational, program management, and/or IC expertise.


Job Requirements

Doctorate (PhD) + 8 years, Masters +8, Bachelors +12, Associates + 14, High School/GED +16, No deg. +20• Applicable degree(s): Computer Information Systems, Computer Science, Database Administration, Data Science, Engineering, IT Management, Mathematics, or Statistics (or another quantitative field).• Minimum five (5) years of experience manipulating data sets and building statistical models, and familiarity with: o Coding knowledge and experience with several languages (C, C++, Java, JavaScript, etc.);o Statistical and data mining techniques (Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.); o Querying databases and using statistical computer languages (R, Python, etc.);o Using web services (Redshift, Spark, DigitalOcean, etc.); ando Creating and using advanced machine learning algorithms and statistics (regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.).o These five (5) years may be concurrent with requisite years of experience.• Strong problem solving skills with an emphasis on product development.• Proven ability to drive business results with data-based insights. Knowledge of Advanced Statistical Techniques.• Demonstrated expertise with developing and implementing data management strategies, processes, and technical solutions.• Demonstrated expertise with one of the key data management knowledge areas: data management, data quality, metadata management, data governance, data modeling and design, data storage and operations, data integration and operability, document and content management, reference and master data.• Outstanding oral and written communication skills with the ability to conduct independent research, filter and synthesize data, and produce clear, logical, and concise recommendations to policy and decision-making data management and governance professionals. • Outstanding interpersonal skills, including the ability to work independently and in a team."
"6",6,"Analyst I, Data Science","Healthcare - Health Services","
Are you passionate about improving the quality of healthcare? 
Are you interested in exploring a rapidly expanding universe of clinical data? 
Are you ready to leverage your talents to make healthcare better for everyone? 
Are you fascinated by the growing field of data science?
Then join the new Data Science & Advanced Analytics team at Health Services Advisory Group (HSAG) that is transforming the delivery of healthcare in the United States!
HSAG has been a pioneer in the field of healthcare quality improvement for over three decades, serving approximately:
25 percent of the nation’s Medicare population
46 percent of the nation’s Medicaid population
20 percent of the nation’s dialysis population
HSAG is nationally recognized as an industry leader in the areas of data analysis, measure development, and patient satisfaction surveys. We are in search of talented individuals that are interested in a career in analytics as an Analyst in HSAG’s Data Science & Advanced Analytics division. Together we can spread positive change to make healthcare better.  
UNIQUE BENEFITS
The Analyst also benefits from HSAG’s desire to grow its staff into the future leaders of healthcare quality improvement in the nation. New HSAG analysts are provided formal training in statistics, clinical epidemiology, SAS, healthcare data, and an assortment of healthcare-related topics. 
HSAG offers:
A comfortable work-life balance, including half-day Fridays and flexible work schedules.
Three weeks of paid time off and 13 company-paid holidays where staff leave two hours early prior to each holiday just to get a “jump start” on holiday festivities.
HSAG offers a competitive benefit package which includes, medical, dental, vision, tuition reimbursement, 401(k) and an employee stock ownership plan. 
DESCRIPTION
The Analyst is a key contributor to cutting edge analytic work that spans the broad spectrum of healthcare data projects at HSAG. Driven by intellectual curiosity and a passion for healthcare quality, the Analyst develops and executes innovative analytic plans that are intended to provide healthcare decision and policy makers with the necessary information to transform healthcare. The Analyst will also assist in designing a wide array of analytic studies and participate in all phases of the research design process. The Analyst will have at his or her fingertips a wide array of data types to facilitate data exploration, including:
survey
case review
medical and prescription drug claims
eligibility
clinical
electronic health record
operational
Details regarding potential project assignments will be discussed with potential candidates during the interview process.
ESSENTIAL COMPETENCIES, DUTIES, AND RESPONSIBILITIES
Serve as an integral part of HSAG Data Science & Advanced Analytics division.
Understand primary types of healthcare data and methods for approaching data assessments.
Evaluate a wide array of data types.
Conduct and interpret analyses, develop appropriate statistical models, manipulate complex databases, and track and evaluate patterns of care and outcomes.
Perform data validation, conduct analysis plans, and cross reference data.
Attend and participates in team training meetings.
Present and communicate project results to non-analytic staff members and customers. 
Represent HSAG in a professional manner at all times.
"
"7",7,"Principal Statistical Analyst / Data Scientist","Other Great Industries","Qualifications 
Education & Experience Requirements:
MS degree in Analytics, Statistics, or Mathematics fields and 12+ years of Analytics experience or PhD degree and 10+ years of Analytics experience
5+ years of SAS programming experience in previous roles (SAS not substitutable with any other programming language).
Expertise acquired through prior experience in applying statistical/mathematical techniques in 2 or more business units/focus areas (Operations, Supply Chain, Real-Estate, Pricing, Marketing, Credit Risk management).
Advanced knowledge of the applications of Analytics in all business units/focus areas
Must be a master storyteller able to explain complicated statistical analyses, techniques, and results to non-statistical audiences of C-level Executives and below.
Capable of working and communicating directly with C-level Executives and below to scope the technical needs of large scale, high-value, technically complex projects.
Capable of developing, training, mentoring, and technically supervising all levels of analysts
Expert in writing extremely large and complex technical documents for auditors or government
Benefits, Privileges and Growth Opportunities
We offer over 31 Benefits and Privileges to include medical, dental, vision, 401k, cash balance retirement plan and more.
We are An Equal Opportunity Affirmative Action Employer, in fact, 'One of our strengths is found in our commitment to serve a diverse customer population with diverse teams of teammates. '
Over 100 years of success is an indication of the stability our workforce enjoys.
Responsibilities 
Principal Duties:
Statistical Analysis / Data Science (65%):
Builds new predictive/descriptive models, evaluate current effectiveness of old models, design experiments/campaigns and analyze the resulting data, perform post-hoc (correlational) analysis when experimental designs (causational analyses) are not feasible and explains the limitations of the results, advises analytical data programmers on quality and infrastructure needs/challenges, etc.
Majority of time spent coding is on creation of new code
Translating analytical results, presenting to C-Level executives and below, and making recommendations for improvements in the areas of application
Creation of extremely advanced technical documents for auditors and government agencies as appropriate
Identify data quality issues and drive their resolution with whoever is appropriate for the given issue
Creates advanced transformations independently
Formally train less experienced Analysts.
Develop formal training materials.
Apply skills learned in previous roles to the business using SAS with great autonomy.
Mentors and provides technical supervision to Senior level analysts
Collaborates strategically with executives outside of Analytics
Focused primarily on large scale high-value projects that may also have legal sensitivity or scrutiny
Applies advanced techniques for handling interactions independently
Technical Supervision / Training / Development (25%)
Technically supervising, mentoring, coaching, and training all less senior analysts on advanced statistical techniques and how to apply them to business problems 
Organization Analytics Strategy / Direction (10%)
Assist Associate Director and Director of Analytics in the identification and quantification of applications of analytics and development of project charters and plans as appropriateNesco Resource is an equal employment opportunity employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, disability, age, or veteran status, or any other legally protected characteristics with respect to employment opportunities."
"8",8,"Lead Predictive Modeler (Data Scientist)","Other Great Industries","Employee Perks  Why You Will Love Being Part of the Navy Federal Team:*Competitive compensation with opportunities for annual raises, promotions, and bonus potential*Best-in-Class Benefits! (7% 401k match / Pension plan / Tuition reimbursement / Great insurance options)*On-site amenities include fitness center, wellness center, cafeteria, etc. at Pensacola, FL; Vienna, VA and Winchester, VA campuses*Consistently Awarded Top Workplace*Nationally recognized training department by TRAINING Magazine IND123*An employee-focused, diverse, and service-oriented workplace environmentBasic Purpose  To lead the development of moderate to large scoped predictive modeling, data-mining, and advanced statistical marketing analytics for assigned internal clients to enable better understanding of member needs, behaviors, and engagement. Serve as lead Analyst independently under general supervision and provide less skilled Analysts with technical and thought guidance in the development of models and collaborative insights with stakeholders. Formulate strategies around member targeting, product and service acquisition, cross-selling and retention for more effective marketing. Provide input, clarification and insight to mid and executive-level management across the company with answers to business questions and information to assist with member-centric decision making.Responsibilities:Collaborate with internal business partners across divisions to integrate analytical tools and solutions into direct marketing, lead generation campaigns/initiatives, and agent/member systems (i.e., INFOR)
Develop and refine member segmentation models to help focus corporate and divisional activities supporting corporate growth, retention, member experience and long term profitability
Develop and test multiple hypotheses using results from analyses to generate and answer new questions leading to more in-depth understanding of business issue(s) being studied 
Evaluate/develop/implement analytical techniques and best practices to gain a competitive advantage
Forecast initiatives to project strategic plan goals and assess current performance 
Identify potential issues that arise during the course of research projects and escalate and communicate these to management and internal clients for awareness\action\resolution
Identify, recommend and manage external suppliers/vendors assisting on analytical research projects, ensure projects meet departmental quality standards, research objectives, and delivered on time
Lead ad hoc analysis of corporate-wide business problems of various scope and complexity
Lead development of predictive modeling projects using data mining techniques for estimating current and future member engagement, prospecting new members, cross-selling to existing members (response models), and identifying members likely to leave
Make presentations of status, completion and results of studies to non-technical audience of various levels 
Manage multiple research projects under tight deadlines; ensure research projects are completed on time and meet internal client expectations 
Monitor performance of scored models; recommend/implement changes to improve performance
Perform full cycle model design and development which includes but is not limited to identifying objectives, sampling, testing/validation, calibration, and monitoring performance 
Proactively work with internal clients and other business areas to create project plans with clear objectives, detailed tasks, accountabilities, timelines, and estimated budgets/corporate impact 
Produce actionable insights from research projects that are effectively communicated 
Perform other duties as assigned
Qualifications – All required unless otherwise noted:Master's Degree in Statistics, Mathematics, Marketing, Economics, Engineering or the equivalent combination of training, education, and experience
Experience in an informal mentoring, and/or leadership role
Experience in working in a consultative capacity involving marketing strategies
Significant experience in managing multiple priorities independently and/or in a team environment to achieve goals
Significant experience in marketing campaign ""life-cycle"" management with a broad range of marketing research tools, trends and technologies - e.g. data mining, Cognos, Business Objects, SAS, JMP, SPSS, SQL, CRM platforms such as Infor or TRM, Mintel Comperemedia, Claritas tools, Omniture etc.
Significant experience in statistical software (e.g., SPSS Modeler and/or SAS) to manage large data sets
Significant experience in using a majority of the following statistical methods to solve business problems: linear and logistic regression, neural networks, decision trees, experimental design, time-series and forecasting, K-means clustering, association rules, RFM, survival analysis
Advanced skill building effective relationships through rapport, trust, diplomacy and tact
Advanced skill interpreting, extrapolating and interpolating data for statistical research and modeling
Advanced skill to influence, negotiate and persuade to reach agreeable exchange and positive outcomes
Advanced skill using innovative thinking to solve problems and facilitate the decision-making process
Experience in an informal mentoring role - we'll want this person to share their knowledge and experience with other lesser tenured modelers on their team
Significant experience in using a majority of the following statistical methods to solve business problems: linear and logistic regression, neural networks, decision trees, experimental design, time-series and forecasting, K-means clustering, association rules, RFM, survival analysis - we want to see that their background is diverse in terms of knowledge of methods used so they can alter approach depending on the problem
Advanced skills in building effective relationships, analyzing and sharing data and using innovative thinking to solve problems - we've had experience with Modelers in the past who were great technically but poor communicators and team players.  We'd really like to find someone who has people skills, as well, both in working well with others and being able to make their analysis relatable to various audiences
Desired:Doctor of Philosophy in Statistics, Mathematics, Marketing, Economics, Engineering or the equivalent combination of training, education, and experience
Significant experience in marketing campaign ""life-cycle"" management and marketing analysis demonstrating usage of all technical tools for data modeling
Advanced knowledge of Navy Federal products, services, programs, policies and procedures
Experience dealing with fraud and working in a financial institution would be great
Hours:Monday-Friday, 9:00AM-5:30PMEqual Employment Opportunity  Navy Federal values, celebrates, and enacts diversity in the workplace.  Navy Federal takes affirmative action to employ and advance in employment qualified individuals with disabilities, disabled veterans, Armed Forces service medal veterans, recently separated veterans, and other protected veterans.  EOE/AA/M/F/Veteran/Disability"
"9",9,"Principal Statistician","Manufacturing, Pharmaceutical","In this role the Principal Statistician will provide senior-level oversight of statistical aspects in the design of clinical trials and statistical analysis of analytical and clinical trial results. Collaborates with the Science & Technology, Analytical Research Services, Regulatory Affairs, and Quality organizations to provide in-depth expertise in the statistical evaluation, modeling, and publication of clinical study reports, analysis of stability studies, among other things.
Responsibilities:
• Design clinical trials with cross functional departments in support of new product development and long term product innovation. • Analyze and assist in the interpretation of data from clinical trials, stability or analytical testing, publicly available metadata, research information relevant to nutrition science and the dietary supplement industry (e.g., NHANES), or work created by Pharmavite's Science & Technology, Analytical Research Services, Regulatory Affairs, and Quality (STARQ) organizations. • In collaboration with key STARQ leaders, develop a statistical strategy that is well coordinated and delivers against our business objectives. • Prepare technical written reports of findings and conclusions, as required. • Develop and establish best statistical practices for key technical functions such as Quality, Analytical Research Services, Product Development, and Product Research. • Develops, plans and executes a wide range of statistical analyses including multi-variable, mathematical modeling, power and sample size calculations, among other things. • Synthesize and simplify complex information to develop business strategies or to influence key opinion leaders and industry experts; at scientific conferences or industry events; or in peer-reviewed manuscripts. • Develop self-service statistical software. • Collect and analyze data to develop and maintain STARQ metrics. • Develop and establish best statistical modeling for use in the Supply Chain. • Functions as analytics expert for multiple complex projects and coordinate with other data analytics incumbents in the Supply Chain. • Designs, maintains and documents procedures, including methods and summary/conclusions. • Ensure that appropriate programs and documentations are developed for datasets development and outputs generation, and ensure the statistical analyses specified in scientific protocols and/or analysis plans are conducted appropriately. • Collaborate with members of the STARQ community and other functions on clinical study protocol development, including choosing an appropriate study design and statistical methodology, defining endpoints, calculating sample size, and writing statistical sections of the protocol. • Collaborate with members of the STARTQ community and other functions on documents containing statistical information and clinical data. • Contribute to the development of functional-level standards, SOPs, and templates.
The ideal candidate will possess the following:
• Masters in statistics, biostatistics, or related field; PhD strongly preferred • A Master's degree plus a minimum of 12 years of experience in data analysis and/or statistician experience. Alternatively, a PhD degree plus a minimum of 6 years of experience in data analysis and/or statistician experience. • Proven experience performing complex statistical programming and statistical analysis and systems programming. • Strong SAS programming skills (Proficient in BASE, STAT, MACRO and GRAPH). • Demonstrated proficiency in using Microsoft Excel, SAS and/or STATA (statistical software), which includes data access, data retrieval, data management, data analysis, and data presentation. • Experience with a wide variety of clinical trials/designs and corresponding reporting of data, and large-scale multivariate longitudinal databases. • Experience in interpreting the results of statistical analyses from complex data sets. • Proven management skills, as shown through management of multiple projects and/or staff members. • Ability to work independently with minimal supervision and coordinate activities with competing deadlines. • Great attention to detail, strong analytical skills, ability to prioritize multiple tasks and ability to deliver reports in timely manner. • Strong organizational and analytical problem-solving skills. • Good organizational skills with the ability to adapt and adjust to changing priorities. • Skills to communicate complex information in a clear and concise manner verbally and written. • Research skills at a level to evaluate alternate solutions and develop recommendations. • Ability to direct and promote teamwork in a multi-disciplinary team setting. • Ability to review current processes and identify potential process improvements.
We are proud to offer:
We aspire to nurture a culture of inclusion that enables and encourages all of our employees to thrive. Bringing the gift of health to life begin with all of us. Here are a few ways we do that:
• Competitive salary with a bonus program • Eligibility for our benefits on your first day of employment (medical, dental vision) • An opportunity to be part of a health/wellness organization • Annual wellness discounts • 401K with company matching • Educational assistance • Monthly free products • 11 paid holidays per year • An opportunity to work with passionate people who care deeply about our purpose and each other!
Pharmavite headquarters are located in the greater Los Angeles area - Northridge, CA
Visit our website at Pharmavite.com
Your next leadership opportunity is just a click away!
Pharmavite is an equal employment and affirmative action employer F/M/Disability/Vet.
Visit our Product Web Sites:
www.naturemade.com/
Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled"
"10",10,"Statistician/ Data Scientist Level IV with TS/SCI clearance","Computer Software, Defense - Aerospace, Telecommunications","Serves as a top level technical or functional expert, often working on multiple projects and programs.Position Overview Provide statistical and mathematical support in assisting NGA analyze and interpret a wide range of data to help NGA understand and improve our customer’s experience. Ability to leverage a range of data sources (e.g., Web traffic, customer requests for information, survey responses, production databases, etc.) for an understanding of what drives a positive customer experience. Provide insights that will be used to inform NGA strategy and decisions, in partnership with teams examining Website design, customer interactions, featured content, and future GEOINT products and services. Works with various stakeholders to develop business questions and identify the data necessary to analyze to answer those questions.   Collaborate across a diverse team of statisticians/data analysts. Utilizes industry standard communication and visualization tools to visualize and communicate complex quantitative information and analysis to senior executives. Applies business analytics and customer segmentation techniques in any corporate function, e.g. marketing analytics, consumer analytics, operations analysis, human capital analytics, or other relevant fields. Uses data mining for structured and unstructured information to join and explore relationships in disparate data sets. Applies advanced analytics capabilities to derive insights from a combination of unstructured, semi-structured, and structured data.   Maintains, moves, and manipulates data between applications, using appropriate software: Apache Spark, ElasticSearch, R, Python, Kibana and others as technology evolves. Strength in collaboration and teamwork within, between, and across organizational boundaries. Demonstrates good oral and written communication skills, along with good interpersonal skills and an ability to work cooperatively and effectively as a team member.1. Serves as a top level technical or functional expert supporting one or more clients and unlimited user groups.2. Performs highly specialized technical tasks associated with cutting-edge technologies.3. Works with user groups to solve business problems with available technology including hardware, software, databases, and peripherals.4. Applies expert functional knowledge and experience to significant business projects or processes.5. May perform business development activities, including providing technical input to proposal efforts.6. Provides guidance and training to less experienced staff.7. May serve as a technical task or project leader.8. May have supervisory responsibilities.9. Maintains current knowledge of relevant developments in area of expertise.10. Participates in special projects as required.

Job Requirements

10-15 YEARS OF EXPERIENCE IN AREA OF EXPERTISE.Expert-level proficiency- Familiarity with MS Office, data mining, ability to develop and manipulate, and maintain databases.- 10 years demonstrated experience using COTS statistical software (SPSS, SAS, MatLab etc.), COTS desktop software (MS Office and Access), and the Windows operating environment. Of particular importance is software packages used for advanced statistical analysis of operational data and tools for data visualization.- Ability to develop and lead teams in the support of GEOINT regional offices and divisions.- Proven ability to interact and provide technical support to Office-level leadership and management internally as well as externallyFor more than 50 years, General Dynamics Information Technology has served as a trusted provider of information technology, systems engineering, training and professional services to customers across federal, state, and local governments, and in the commercial sector. Over 40,000 GDIT professionals deliver enterprise solutions, manage mission-critical IT programs and provide mission support services worldwide. GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class. #ISDCJ  #DPOST. WPSM21"
