"","gender","oldness","student_loaniness","homeland"
"1",0,20,4,"Eurasia"
"2",1,25,4,"Oceana"
"3",1,56,2,"Eastasia"
"4",0,65,6,"Eastasia"
"5",1,50,5,"Oceana"
"6",0,20,5,"Eastasia"
"7",1,63,2,"Oceana"
"8",0,39,3,"Oceana"
"9",0,58,2,"Oceana"
"10",0,40,3,"Oceana"
"11",1,37,4,"Eurasia"
"12",1,22,5,"Eurasia"
"13",1,37,6,"Eastasia"
"14",0,46,1,"Oceana"
"15",0,49,5,"Oceana"
"16",1,28,3,"Oceana"
"17",0,59,4,"Oceana"
"18",0,26,3,"Oceana"
"19",1,26,3,"Oceana"
"20",1,41,5,"Oceana"
"21",0,54,1,"Oceana"
"22",1,37,6,"Eurasia"
"23",0,51,4,"Oceana"
"24",0,30,5,"Oceana"
"25",0,22,5,"Eastasia"
"26",0,21,1,"Eastasia"
"27",0,24,6,"Eurasia"
"28",1,81,3,"Oceana"
"29",0,34,4,"Eastasia"
"30",1,32,1,"Eastasia"
"31",1,84,4,"Oceana"
"32",0,18,2,"Eastasia"
"33",1,60,3,"Oceana"
"34",0,71,3,"Oceana"
"35",0,42,7,"Oceana"
"36",0,82,3,"Oceana"
"37",1,52,5,"Eastasia"
"38",1,46,2,"Eurasia"
"39",0,54,4,"Oceana"
"40",0,55,4,"Oceana"
"41",0,27,6,"Eurasia"
"42",1,68,3,"Oceana"
"43",1,34,3,"Oceana"
"44",0,22,5,"Oceana"
"45",1,71,1,"Oceana"
"46",0,18,4,"Oceana"
"47",0,60,2,"Eurasia"
"48",1,64,6,"Eastasia"
"49",1,63,1,"Oceana"
"50",1,27,2,"Eurasia"
"51",1,61,3,"Oceana"
"52",1,70,2,"Oceana"
"53",1,53,3,"Oceana"
"54",0,43,2,"Eurasia"
"55",1,28,1,"Eurasia"
"56",1,37,2,"Oceana"
"57",0,27,4,"Eurasia"
"58",0,74,3,"Oceana"
"59",0,41,NA,"Oceana"
"60",1,60,1,"Eastasia"
"61",0,19,4,"Oceana"
"62",1,26,4,"Oceana"
"63",0,68,7,"Oceana"
"64",1,24,5,"Oceana"
"65",1,34,3,"Oceana"
"66",1,71,3,"Oceana"
"67",1,56,4,"Oceana"
"68",1,45,1,"Oceana"
"69",1,36,1,"Eurasia"
"70",1,20,6,"Eurasia"
"71",0,54,1,"Eastasia"
"72",1,48,1,"Eurasia"
"73",1,55,5,"Oceana"
"74",0,30,2,"Oceana"
"75",0,35,1,"Eastasia"
"76",1,71,3,"Eastasia"
"77",1,27,3,"Eastasia"
"78",0,78,2,"Oceana"
"79",1,67,4,"Oceana"
"80",1,47,2,"Oceana"
"81",0,29,4,"Oceana"
"82",1,51,5,"Eurasia"
"83",0,63,3,"Oceana"
"84",0,53,3,"Eastasia"
"85",1,84,2,"Oceana"
"86",0,43,4,"Oceana"
"87",1,48,3,"Eurasia"
"88",0,50,1,"Eurasia"
"89",0,28,3,"Oceana"
"90",1,55,1,"Oceana"
"92",0,56,1,"Eurasia"
"93",0,70,1,"Eurasia"
"94",0,37,1,"Oceana"
"95",0,21,4,"Eastasia"
"96",1,28,5,"Eurasia"
"97",0,42,4,"Oceana"
"102",1,20,2,"Eastasia"
"103",1,43,5,"Eastasia"
"104",0,45,1,"Eastasia"
"105",1,61,6,"Eastasia"
"106",0,37,6,"Eurasia"
"107",1,28,1,"Oceana"
"108",1,23,3,"Eurasia"
"109",1,75,3,"Oceana"
"110",1,25,3,"Eastasia"
"111",0,35,4,"Eastasia"
"112",0,34,1,"Oceana"
"113",0,29,4,"Eurasia"
"114",0,19,3,"Oceana"
"115",1,63,1,"Eurasia"
"116",0,59,6,"Oceana"
"119",1,40,1,"Oceana"
"120",1,53,4,"Eastasia"
"121",1,35,4,"Oceana"
"122",1,50,3,"Eurasia"
"123",0,31,1,"Eastasia"
"124",0,47,5,"Eastasia"
"125",0,20,3,"Eastasia"
"126",0,44,3,"Oceana"
"127",0,37,3,"Eurasia"
"128",1,NA,1,"Oceana"
"129",1,69,4,"Eastasia"
"130",0,44,4,"Oceana"
"131",1,19,3,"Eastasia"
"132",0,51,2,"Oceana"
"133",0,45,1,"Oceana"
"134",0,30,5,"Oceana"
"135",1,20,3,"Oceana"
"136",1,80,1,"Eurasia"
"139",1,43,4,"Eastasia"
"140",0,28,4,"Eurasia"
"141",1,53,1,"Oceana"
"142",0,36,6,"Eastasia"
"144",0,65,3,"Oceana"
"145",0,26,NA,"Eastasia"
"146",1,61,1,"Oceana"
"147",1,40,4,"Oceana"
"148",0,68,1,"Eastasia"
"149",1,77,2,"Oceana"
"150",1,23,4,"Oceana"
"151",0,48,3,"Eastasia"
"152",0,30,7,"Oceana"
"153",1,28,1,"Oceana"
"154",1,57,1,"Eastasia"
"155",1,52,1,"Oceana"
"156",1,28,4,"Oceana"
"157",0,34,3,"Oceana"
"158",1,20,3,"Eastasia"
"159",0,18,1,"Oceana"
"160",0,21,5,"Eastasia"
"161",0,72,2,"Oceana"
"162",1,34,5,"Eastasia"
"163",1,30,2,"Eastasia"
