Table with row headings in column A and column headings in rows 6 to 9.,,,,,,,,,,,,
Table 3.,,,,,,,,,,,,
People in Poverty by Selected Characteristics:  2016 and 2017,,,,,,,,,,,,
,,,,,,,,,,,,
"(Numbers in thousands, margin of error in thousands or percentage points as appropriate.  People as of March of the following year.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www2.census.gov/programs-surveys/cps/techdocs/cpsmar18.pdf)",,,,,,,,,,,,
Characteristic,2016,,,,,2017,,,,,"Change in poverty (2017 less 2016)2,*",
,Total,Below poverty,,,,Total,Below poverty,,,,,
,,Number,Margin of error1 (+/-),Percent,Margin of error1 (+/-),,Number,Margin of error1 (+/-),Percent,Margin of error1 (+/-),Number,Percent
,,,,,,,,,,,,
PEOPLE,,,,,,,,,,,,
        Total.................……………………,"319,911","40,616",739,12.7,0.2,"322,549","39,698",915,12.3,0.3,-918,*-0.4
,,,,,,,,,,,,
Race3 and Hispanic Origin,,,,,,,,,,,,
White…………………………………………,"245,985","27,113",547,11.0,0.2,"247,272","26,436",714,10.7,0.3,-677,*-0.3
"   White, not Hispanic………………………","195,221","17,263",493,8.8,0.3,"195,256","16,993",571,8.7,0.3,-270,-0.1
Black…………………………………………,"41,962","9,234",388,22.0,0.9,"42,474","8,993",373,21.2,0.9,-241,-0.8
Asian…………………………………………,"18,879","1,908",175,10.1,0.9,"19,475","1,953",190,10.0,1.0,45,-0.1
Hispanic (any race)……………………..….,"57,556","11,137",399,19.4,0.7,"59,053","10,790",423,18.3,0.7,-348,*-1.1
,,,,,,,,,,,,
Sex,,,,,,,,,,,,
Male………………………………………….,"156,677","17,685",395,11.3,0.3,"158,116","17,365",483,11.0,0.3,-321,-0.3
Female………………………………………,"163,234","22,931",460,14.0,0.3,"164,433","22,333",525,13.6,0.3,-598,*-0.5
,,,,,,,,,,,,
Age,,,,,,,,,,,,
Under age 18...........……………………,"73,586","13,253",370,18.0,0.5,"73,356","12,808",425,17.5,0.6,-445,-0.6
Aged 18 to 64...........…………………….,"197,051","22,795",473,11.6,0.2,"198,113","22,209",564,11.2,0.3,-586,*-0.4
Aged 65 and older........………………….,"49,274","4,568",198,9.3,0.4,"51,080","4,681",190,9.2,0.4,114,-0.1
,,,,,,,,,,,,
Nativity,,,,,,,,,,,,
Native born...................………………………..,"276,089","33,999",670,12.3,0.2,"277,158","33,095",850,11.9,0.3,-904,*-0.4
