"","display_title","mpaa_rating","critics_pick","byline","headline","summary_short","publication_date","opening_date","date_updated"
"1","Rogue One: A Star Wars Story","PG-13",0,"A. O. SCOTT","Review: ‘Rogue One’ Leaves ‘Star Wars’ Fans Wanting More and Less","This film, masquerading as a heroic tale of rebellion, falls short of the insurgent energy of its predecessors in the franchise.","2016-12-13","2016-12-16","2017-11-02 04:18:26"
"2","Return of the Jedi","PG",0,"Vincent Canby","RETURN OF THE JEDI, THE (MOVIE)","Third on-target ``Star Wars'' adventure. Dazzling fun.","1983-05-25","1983-05-25","2017-11-02 04:17:32"
"3","Solo: A Star Wars Story","PG-13",0,"A.O. SCOTT","Review: ‘Solo: A Star Wars Story’ Answers Questions You May Not Have Asked","Where did Han Solo get his last name? How did he and Chewbacca meet? What was the hand of Sabacc that won him the Millennium Falcon?","2018-05-15","2018-05-25","2018-06-15 16:44:02"
"4","Star Wars: The Last Jedi","PG-13",1,"MANOHLA DARGIS","Review: ‘Star Wars: The Last Jedi’ Embraces the Magic and Mystery","With charm and wit, the latest “Star Wars” movie unites the past and present as it looks toward the future.","2017-12-12","2017-12-15","2018-01-12 17:44:02"
"5","Rogue One: A Star Wars Story","PG-13",0,"A. O. SCOTT","Review: ‘Rogue One’ Leaves ‘Star Wars’ Fans Wanting More and Less","This film, masquerading as a heroic tale of rebellion, falls short of the insurgent energy of its predecessors in the franchise.","2016-12-13","2016-12-16","2017-11-02 04:18:26"
"6","Star Wars: Episode VII - The Force Awakens","PG-13",0,"MANOHLA DARGIS","‘Star Wars: The Force Awakens’ Delivers the Thrills, With a Touch of Humanity","J. J. Abrams, the director, turns out to be what this stagnant franchise needs: a superfan and pop culture savant.","2015-12-16","2015-12-18","2017-11-02 04:18:23"
"7","Star Wars: Episode II Attack of the Clones","PG",0,"A. O. Scott","Star Wars (Movies)","Early and late, in a starship chase sequence and in a light-saber duel between Yoda and the nefarious Count Dooku (Chirstopher Lee), some of the old &quot;Star Wars&quot; magic returns. But otherwise, the mixture of grandeur and whimsy that made the first three movies so thrilling has been sacrificed to self-importance, an incomprehensible plot and some of the worst screen acting of the year. Hayden Christensen and Natalie Portman are dreadful as  Anakin Skywalker and Padme Amidala, who are reunited (and fall in love) in the midst of a messy political crisis that threatens the stability of the republic and the power of the Jedi order. Millions of people will see this dreary, joyless picture, but only those pursuing advanced degrees in &quot;Star Wars&quot;-ology will be able to appreciate it. — A. O. Scott","2002-05-10","2002-05-16","2017-11-02 04:18:01"
"8","Star Wars: Episode I - The Phantom Menace","PG",1,"Janet Maslin","Star Wars: Episode I-the Phantom Menace (Movie)","Stripped of hype and breathless expectations, George Lucas's first installment offers a happy surprise: it's up to snuff. It sustains the gee-whiz spirit of the series and offers a swashbuckling extra-galactic getaway, creating illusions that are even more plausible than the kitchen-raiding raptors of &quot;Jurassic Park.&quot; While the human stars here are indeed reduced to playing action figures, they are upstaged by amazing backdrops and hordes of crazily lifelike space beings as the Lewis Carroll in Mr. Lucas is given free rein. The &quot;Star Wars&quot; franchise was funnier and scrappier when it was new. But it simply wasn't capable of this. &#151; Janet Maslin","1999-05-19","1999-05-19","2017-11-02 04:17:57"
"9","Return of the Jedi","PG",0,"Vincent Canby","RETURN OF THE JEDI, THE (MOVIE)","Third on-target ``Star Wars'' adventure. Dazzling fun.","1983-05-25","1983-05-25","2017-11-02 04:17:32"
"10","Star Wars","PG",1,"VINCENT CANBY","Star Wars (Movie)","Luke Skywalker and friends vs. evil empire. One of the real champs.","1977-05-26","1977-05-25","2017-11-02 04:17:28"
